year,county,contamination_proportion
2000,Perry,0.03557275827112708
2000,Dixie,0.050330782202620314
2000,Grant,0.0
2000,El Paso,0.0
2000,Butler,0.0
2000,Glenn,0.0
2000,Holmes,0.0
2000,Forest,0.0
2000,Butler,0.02445981699922831
2000,Sevier,0.0
2000,Barton,0.0
2000,Waupaca,0.0
2000,Green Lake,0.0
2000,Trinity,0.015481473836309217
2000,Lancaster,0.00030647040620264263
2000,Russell,0.0
2000,Walworth,0.0007427433970112005
2000,Hickman,0.0
2000,Lee,0.0
2000,Knox,0.5
2000,Mercer,0.0
2000,Cook,0.0
2000,Howard,0.0
2000,Schuyler,0.0
2000,Elk,0.0
2000,Wichita,0.0
2000,Lincoln,0.0
2000,New Haven,0.0
2000,Dane,0.0
2000,Caddo,0.0
2000,Carroll,0.0
2000,Alachua,0.0
2000,Oldham,0.0
2000,Rockingham,0.003597016027771623
2000,Litchfield,0.0
2000,Davis,0.0
2000,Saline,0.0
2000,Bent,0.0
2000,Garrett,0.0
2000,Pope,0.0
2000,Lyon,0.0362470469119136
2000,Columbia,0.0
2000,Allegany,0.0
2000,Clearwater,0.0
2000,Cibola,0.0
2000,Waushara,0.0
2000,Bourbon,0.0
2000,Beaver,0.004102528789211065
2000,Pine,0.0
2000,Clinton,0.0
2000,Carroll,0.007088558089511378
2000,Tama,0.0
2000,Livingston,0.0
2000,Bronx,0.0
2000,Hancock,0.029453817557906777
2000,Coffey,0.0
2000,Allen,0.0
2000,Uintah,0.0
2000,Cedar,0.0
2000,Roseau,0.0
2000,Grant,0.0
2000,Ellis,0.2884921287916187
2000,Quay,0.0
2000,Weld,0.0010907572348369161
2000,Boone,0.0
2000,Pike,0.0
2000,Logan,0.005441200305633379
2000,Union,0.0
2000,Mason,0.5984236453201971
2000,Logan,0.0
2000,Rio Arriba,0.0
2000,Lincoln,0.01149706457925636
2000,Haskell,0.0
2000,Harrison,0.0
2000,Texas,0.0
2000,Jackson,0.0
2000,Mitchell,0.0
2000,Catron,0.0
2000,Onondaga,0.0
2000,Martin,0.0
2000,Fayette,0.0
2000,Breckinridge,0.0
2000,Grand Isle,0.0
2000,Clarion,0.0
2000,Mille Lacs,0.0
