year,county,state,contamination_proportion,party
2014,Morgan,Colorado,0.0,D
2014,Ballard,Kentucky,0.0,D
2014,Osceola,Michigan,0.0,R
2014,McDonald,Missouri,0.0,D
2014,Wadena,Minnesota,0.0,I
2014,Jefferson,Kentucky,0.0,D
2014,Summit,Colorado,0.0,D
2014,Mercer,Missouri,0.0,D
2014,St. Tammany,Louisiana,0.0,R
2014,Bracken,Kentucky,0.0,D
2014,Spokane,Washington,2.9555334087585458e-05,D
2014,Holmes,Florida,0.0,R
2014,Renville,Minnesota,0.03135812559596785,I
2014,Gloucester,New Jersey,0.0,R
2014,Scott,Kansas,0.0,R
2014,Gladwin,Michigan,0.0,R
2014,Watauga,North Carolina,0.0,I
2014,Lehigh,Pennsylvania,0.0,R
2014,Reynolds,Missouri,0.0,D
2014,Marion,Kentucky,0.0,D
2014,Trinity,California,0.0,D
2014,Monroe,West Virginia,0.0,D
2014,Jefferson,Oregon,0.0,D
2014,Raleigh,West Virginia,0.0,D
2014,Morgan,Kentucky,0.0,D
2014,Midland,Michigan,0.0,R
2014,Sauk,Wisconsin,0.0,R
2014,Indiana,Pennsylvania,0.00049565636852051,R
2014,Douglas,Kansas,0.0,R
2014,Chemung,New York,0.0,D
2014,Monona,Iowa,0.0,R
2014,Carroll,Missouri,0.0,D
2014,Blair,Pennsylvania,0.0,R
2014,Shawano,Wisconsin,0.0,R
2014,Webster,Missouri,0.0,D
2014,Pope,Minnesota,0.0,I
2014,McCracken,Kentucky,0.0,D
2014,Brooke,West Virginia,0.0,D
2014,Luce,Michigan,0.0,R
2014,Abbeville,South Carolina,0.0,R
2014,Tuscola,Michigan,0.0,R
2014,Iredell,North Carolina,0.0,I
2014,Russell,Kansas,0.033587412872457506,R
2014,Delaware,Pennsylvania,0.0,R
2014,Atchison,Missouri,0.0,D
2014,Buffalo,Wisconsin,0.0,R
2014,Hardin,Kentucky,0.0,D
2014,Hampshire,Massachusetts,0.0,D
2014,Ouachita,Louisiana,0.008043377598438869,R
2014,Clinton,Kentucky,0.0,D
2014,Polk,Missouri,0.0,D
2014,Leslie,Kentucky,0.0,D
2014,Greene,North Carolina,0.0,I
2014,Missaukee,Michigan,0.0,R
2014,Butler,Kansas,0.0,R
2014,Green Lake,Wisconsin,0.0,R
2014,Owsley,Kentucky,0.0,D
2014,Harnett,North Carolina,0.0,I
2014,Hamilton,New York,0.0,D
2014,Rockingham,North Carolina,0.007856826687054846,I
2014,Allegan,Michigan,0.0,R
2014,Gaston,North Carolina,0.00118159630233369,I
2014,Carlisle,Kentucky,0.0,D
2014,Otero,Colorado,0.01510707136832299,D
2014,Johnson,Missouri,0.0007979422477563742,D
2014,Cowlitz,Washington,0.00024890031316184854,D
2014,Prince George's,Maryland,0.0,D
2014,Camden,Missouri,0.0,D
2014,Fresno,California,0.0017629666811540086,D
2014,Franklin,Kentucky,0.0,D
2014,Forest,Pennsylvania,0.0,R
2014,Washington,Wisconsin,0.0,R
2014,Marion,Kansas,0.0,R
2014,Shawnee,Kansas,0.002990651073953691,R
2014,West Carroll,Louisiana,0.0,R
2014,St. James,Louisiana,0.0785744164644859,R
2014,Chelan,Washington,0.0,D
2014,Livingston,Louisiana,0.0,R
2014,Lawrence,Missouri,0.0,D
2014,Beaver,Utah,0.0,R
2014,Cheyenne,Colorado,0.0,D
2014,Maries,Missouri,0.0,D
2014,Dutchess,New York,0.0006212049327767519,D
2014,Cass,Missouri,0.0,D
2014,Cape May,New Jersey,0.0,R
2014,Winnebago,Wisconsin,0.0,R
2014,Atlantic,New Jersey,0.0,R
2014,Bergen,New Jersey,0.0,R
2014,Summers,West Virginia,0.0,D
2014,Wolfe,Kentucky,0.19939577039274925,D
2014,Clark,Kansas,0.014934171742975044,R
2014,Salt Lake,Utah,0.0,R
